Fold1,Mean±Std,subnet_epochs,epochs,bz,lr,wd,lr_jitter
71.00,71.00±nan,40.0,40.0,50.0,0.001,0.0001,True
67.00,67.00±nan,,,,,,
83.00,83.00±nan,,,,,,
80.00,80.00±nan,,,,,,
80.00,80.00±nan,,,,,,
70.50,70.50±nan,,,,,,
78.00,78.00±nan,,,,,,
65.50,65.50±nan,,,,,,
66.00,66.00±nan,,,,,,
81.00,81.00±nan,,,,,,
13.00,13.00±nan,,,,,,
33.50,33.50±nan,,,,,,
40.50,40.50±nan,,,,,,
75.50,75.50±nan,,,,,,
65.00,65.00±nan,,,,,,
47.50,47.50±nan,,,,,,
67.00,67.00±nan,,,,,,
67.00,67.00±nan,,,,,,
38.00,38.00±nan,,,,,,
71.50,71.50±nan,,,,,,
77.00,77.00±nan,,,,,,
91.00,91.00±nan,,,,,,
33.00,33.00±nan,,,,,,
88.50,88.50±nan,,,,,,
75.50,75.50±nan,,,,,,
73.00,73.00±nan,,,,,,
76.00,76.00±nan,,,,,,
89.50,89.50±nan,,,,,,
18.00,18.00±nan,,,,,,
76.50,76.50±nan,,,,,,
81.50,81.50±nan,,,,,,
95.00,95.00±nan,,,,,,
31.00,31.00±nan,,,,,,
86.00,86.00±nan,,,,,,
86.50,86.50±nan,,,,,,
66.81,66.81±21.05,,,,,,
