Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
71.35,71.35±nan,100.0,64.0,0.001,0.0001,True,40.0
82.29,82.29±nan,,,,,,
98.96,98.96±nan,,,,,,
80.73,80.73±nan,,,,,,
85.42,85.42±nan,,,,,,
96.88,96.88±nan,,,,,,
86.98,86.98±nan,,,,,,
76.04,76.04±nan,,,,,,
67.71,67.71±nan,,,,,,
88.54,88.54±nan,,,,,,
20.83,20.83±nan,,,,,,
62.50,62.50±nan,,,,,,
63.02,63.02±nan,,,,,,
78.12,78.12±nan,,,,,,
90.10,90.10±nan,,,,,,
68.75,68.75±nan,,,,,,
76.56,76.56±nan,,,,,,
73.44,73.44±nan,,,,,,
62.50,62.50±nan,,,,,,
79.69,79.69±nan,,,,,,
62.50,62.50±nan,,,,,,
96.88,96.88±nan,,,,,,
38.54,38.54±nan,,,,,,
94.79,94.79±nan,,,,,,
90.62,90.62±nan,,,,,,
79.69,79.69±nan,,,,,,
79.17,79.17±nan,,,,,,
90.62,90.62±nan,,,,,,
39.58,39.58±nan,,,,,,
71.88,71.88±nan,,,,,,
84.90,84.90±nan,,,,,,
99.48,99.48±nan,,,,,,
32.29,32.29±nan,,,,,,
92.71,92.71±nan,,,,,,
91.15,91.15±nan,,,,,,
75.86,75.86±18.94,,,,,,
