Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
65.62,65.62±nan,100.0,128.0,0.005,0.0001,True
66.41,66.41±nan,,,,,
94.53,94.53±nan,,,,,
54.69,54.69±nan,,,,,
40.62,40.62±nan,,,,,
63.28,63.28±nan,,,,,
48.44,48.44±nan,,,,,
44.53,44.53±nan,,,,,
38.28,38.28±nan,,,,,
64.84,64.84±nan,,,,,
10.16,10.16±nan,,,,,
45.31,45.31±nan,,,,,
15.62,15.62±nan,,,,,
25.78,25.78±nan,,,,,
48.44,48.44±nan,,,,,
44.53,44.53±nan,,,,,
45.31,45.31±nan,,,,,
52.34,52.34±nan,,,,,
25.78,25.78±nan,,,,,
41.41,41.41±nan,,,,,
25.78,25.78±nan,,,,,
76.56,76.56±nan,,,,,
14.84,14.84±nan,,,,,
67.97,67.97±nan,,,,,
60.16,60.16±nan,,,,,
65.62,65.62±nan,,,,,
37.50,37.50±nan,,,,,
72.66,72.66±nan,,,,,
24.22,24.22±nan,,,,,
66.41,66.41±nan,,,,,
34.38,34.38±nan,,,,,
89.84,89.84±nan,,,,,
29.69,29.69±nan,,,,,
61.72,61.72±nan,,,,,
50.78,50.78±nan,,,,,
48.97,48.97±20.30,,,,,
