Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
72.92,72.92±nan,100.0,64.0,0.001,0.0001,True
81.77,81.77±nan,,,,,
97.92,97.92±nan,,,,,
67.71,67.71±nan,,,,,
47.92,47.92±nan,,,,,
78.65,78.65±nan,,,,,
65.62,65.62±nan,,,,,
43.23,43.23±nan,,,,,
43.75,43.75±nan,,,,,
72.92,72.92±nan,,,,,
10.94,10.94±nan,,,,,
45.83,45.83±nan,,,,,
29.69,29.69±nan,,,,,
57.29,57.29±nan,,,,,
58.33,58.33±nan,,,,,
54.17,54.17±nan,,,,,
65.62,65.62±nan,,,,,
66.67,66.67±nan,,,,,
33.33,33.33±nan,,,,,
55.21,55.21±nan,,,,,
27.60,27.60±nan,,,,,
79.69,79.69±nan,,,,,
23.44,23.44±nan,,,,,
75.00,75.00±nan,,,,,
62.50,62.50±nan,,,,,
74.48,74.48±nan,,,,,
52.08,52.08±nan,,,,,
80.21,80.21±nan,,,,,
24.48,24.48±nan,,,,,
71.88,71.88±nan,,,,,
75.00,75.00±nan,,,,,
97.40,97.40±nan,,,,,
31.25,31.25±nan,,,,,
71.35,71.35±nan,,,,,
53.12,53.12±nan,,,,,
58.54,58.54±20.97,,,,,
